start;end;description
883;883;Wasco
883;883;Wishram
884;884;TSIMSHIAN
885;885;ACHUMAWI
886;886;ATSUGEWI
887;887;KAROK
888;888;POMO
889;889;SHASTAN
890;890;WASHO
891;891;UP RIVER YUMAN
892;892;COCOMARICOPA
893;893;MOHAVE
894;894;YUMA
895;895;DIEGUENO
896;896;DELTA RIVER YUMAN
897;897;UPLAND YUMAN
898;898;HAVASUPAI
899;899;WALAPAI
900;900;YAVAPAI
901;901;CHUMASH
902;902;TONKAWA
903;903;YUCHI
904;904;CROW
904;904;Absaroke
905;905;HIDATSA
906;906;MANDAN
907;907;DAKOTA
907;907;Brule
907;907;Lakota
907;907;Oglala
907;907;Sioux
908;908;CHIWERE
909;909;WINNEBAGO
910;910;KANSA
910;910;Kaw
911;911;OMAHA
912;912;OSAGE
913;913;PONCA
914;914;QUAPAW
914;914;Arkansas
915;915;ALABAMA
916;916;CHOCTAW
916;916;Chickasaw
917;917;MIKASUKI
918;918;HICHITA
918;918;Apalachicola
919;919;KOASATI
920;920;MUSKOGEE
920;920;Creek
920;920;Seminole
921;921;CHETEMACHA
922;922;YUKI
923;923;WAPPO
924;924;KERES
925;925;IROQUOIS
926;926;MOHAWK
927;927;ONEIDA
928;928;ONONDAGA
929;929;CAYUGA
930;930;SENECA
931;931;TUSCARORA
932;932;WYANDOT
932;932;Huron
933;933;CHEROKEE
934;934;ARIKARA
935;935;CADDO
936;936;PAWNEE
937;937;WICHITA
938;938;COMANCHE
939;939;MONO
939;939;Owens Valley Paiute
940;940;PAIUTE
941;941;NORTHERN PAIUTE
941;941;Bannock
941;941;Num
941;941;Snake
942;942;SOUTHERN PAIUTE
943;943;CHEMEHUEVI
944;944;KAWAIISU
945;945;UTE
946;946;SHOSHONI
947;947;PANAMINT
948;948;HOPI
949;949;CAHUILLA
950;950;CUPENO
951;951;LUISENO
952;952;SERRANO
953;953;TUBATULABAL
954;954;PIMA
954;954;Papago
955;955;YAQUI
956;956;AZTECAN
956;956;Mexicano
956;956;Nahua
957;958;SONORAN, not elsewhere classified
957;958;Tarahumara
957;957;Cahita
957;957;Guasave
957;957;Huichole
957;957;Nayit
959;959;PICURIS
959;959;Northern Tiwa
959;959;Taos
960;960;TIWA
960;960;Isleta
960;960;Ysleta
961;961;SANDIA
962;962;TEWA
962;962;Hano
962;962;Hopi-Tewa
962;962;San Ildefonso
962;962;San Juan
962;962;Santa Clara
963;963;TOWA
964;964;ZUNI
965;965;CHINOOK JARGON
966;966;AMERICAN INDIAN
967;967;MISUMALPAN
967;967;Matagalpa
967;967;Miskito
967;967;Sumu
968;968;MAYAN LANGUAGES
968;968;Cakchiquel
968;968;Chol
968;968;Guastec
968;968;Guatemala
968;968;Ixil
968;968;Kechi
968;968;Mam
968;968;Maya
968;968;Queche
968;968;Yucateca
969;969;TARASCAN
970;970;MAPUCHE
970;970;Araucanian
970;970;Chilote
971;971;OTO-MANGUEN
971;971;Ixatec
971;971;Mixtec
971;971;Otomi
971;971;Popoloc
971;971;Zapoteca
972;972;QUECHUA
973;973;AYMARA
974;974;ARAWAKIAN
974;974;Araua
974;974;Carib
974;974;Guajiro
974;974;Kitemoca
974;974;Tatu
975;975;CHIBCHAN
975;975;Boruca
975;975;Cuna
975;975;Guaymi
975;975;Ica
976;976;TUPI-GUARANI
976;976;Guajibo
976;976;Guarani
976;976;Siriono
977;977;JICARILLA
977;977;Lipan
978;978;CHIRICAHUA
978;978;Mescalero
979;979;SAN CARLOS
979;979;Cibecue
979;979;San Carlos
979;979;San Carlos Apache
979;979;White Mountain
980;980;KIOWA-APACHE
981;981;KALISPEL
982;982;SPOKANE999
983;998;LANGUAGE SPECIFIED, NOT LISTED
999;999;NOT REPORTED
