start;end;description
168;170;TURKESTANI
168;168;TURKESTANI
168;168;Karakalpak
168;168;Kazak
168;168;Kirghiz
168;168;Tadzhik
168;168;Turcoman
168;168;Turkestani
168;168;Turkmen
168;168;Turkoman
168;168;Uiger
169;170;UZBEG
171;174;UKRAINIAN
171;171;UKRANIAN
171;171;Little Russian
171;171;Malo Russian
171;171;Ukraine
172;172;LEMKO
172;172;Lemkian
173;173;BIOKO
174;174;HUSEL
175;175;WINDISH
175;175;Prekmurje
175;175;Windisch
176;177;YUGOSLAVIAN
176;176;YUGOSLAVIAN
176;176;Jugoslavia
177;177;HERZEGOVINIAN
177;177;Bosanci
177;177;Bosnian Muslim
177;177;Bosnjaci
178;180;SLAVIC
178;178;SLAVIC
178;178;Slav
179;180;SLAVONIAN
181;199;EUROPE, N.E.C.
181;182;Middle European
181;181;EUROPE, N.E.C.
181;181;Central European
183;184;North Europe
183;183;NORTHERN EUROPEAN
185;186;South Europe
185;185;SOUTHERN EUROPEAN
187;189;West Europe
187;187;WESTERN EUROPEAN
190;190;EASTERN EUROPEAN
190;190;Byzantine
190;190;East Europe
191;192;BUKOVINA
193;194;SILESIAN
195;195;EUROPEAN
196;199;Galicia
196;196;GALICIAN
200;299;HISPANIC CATEGORIES (INCLUDING SPAIN)
200;203;SPANIARD
200;200;SPANIARD
200;200;Espanola
200;200;Iberian
200;200;Spain
201;201;ANDALUSIAN
202;202;ASTURIAN
203;203;CASTILLIAN
204;209;CATALONIAN
204;204;CATALONIAN
204;204;Catalonia
205;205;BALEARIC ISLANDER
205;205;Mallorca
206;206;GALLEGO
207;207;VALENCIAN
208;209;CANARY ISLANDER
210;218;MEXICAN
210;210;MEXICAN
211;211;MEXICAN AMERICAN
212;212;MEXICANO
213;213;CHICANO
214;217;LA RAZA
218;218;MEXICAN STATE
218;218;Aguascalientes
218;218;Baja California
218;218;Campeche
218;218;Chiapas
218;218;Chihuahua
218;218;Coahuila
218;218;Colima
218;218;Distrito Federal
218;218;Durango
218;218;Guanajuato
218;218;Guerrero
218;218;Hidalgo
218;218;Jalisco
218;218;Mexico
218;218;Michoacan
218;218;Morelos
218;218;Nayarit
218;218;Nuevo Leon
218;218;Oaxaca
218;218;Puebla
218;218;Queretaro
218;218;Quintana Roo
218;218;San Luis Potosi
218;218;Sinaloa
218;218;Sonora
218;218;Tabasco
218;218;Tamaulipas
218;218;Tlaxcala
218;218;Vera Cruz
218;218;Yucatan
218;218;Zacatecas
219;221;COSTA RICAN
219;221;Costarricense
219;219;Costa Rica
222;222;GUATEMALAN
222;222;Guatemala
223;223;HONDURAN
223;223;Honduras
224;224;NICARAGUAN
224;224;Nicaragua
225;225;PANAMANIAN
225;225;Panama
226;226;SALVADORAN
226;226;El Salvador
226;226;Salvadorian
227;228;CENTRAL AMERICAN
227;228;Central America
229;230;CANAL ZONE
231;231;ARGENTINEAN
231;231;Argentine
232;232;BOLIVIAN
232;232;Bolivia
233;233;CHILEAN
233;233;Chile
234;234;COLOMBIAN
234;234;Antiochio
234;234;Colombia
235;235;ECUADORIAN
235;235;Ecuador
235;235;Galapagos Islander
236;236;PARAGUAYAN
236;236;Paraguay
237;237;PERUVIAN
237;237;Peru
238;238;URUGUAYAN
238;238;Uruguay
239;239;VENEZUELAN
239;239;Venezuela
240;248;CRIOLLO
240;248;Criolla
249;249;SOUTH AMERICAN
249;249;America Del Sur
249;249;Sudamerica
250;260;LATIN AMERICAN
250;250;LATIN AMERICAN
250;250;America Latina
250;250;Latinoamericana
251;251;LATIN
252;260;LATINO
261;270;PUERTO RICAN
261;270;Puertorriqueno
261;261;Boricua
261;261;Borinquena
261;261;New York Puerto Rican
261;261;Puerto Rico
271;274;CUBAN
271;274;Guajiro
271;271;Cuba
271;271;Cubana
275;275;DOMINICAN
275;275;Dominican Republic
275;275;Dominicana
275;275;Santo Domingo
276;290;HISPANIC
276;290;Hispano
291;299;SPANISH
292;292;CALIFORNIO
293;293;TEJANO
293;293;Tejana
294;294;NUEVO MEXICANO
295;299;SPANISH AMERICAN
300;359;WEST INDIES (EXCEPT HISPANIC)
300;300;BAHAMIAN
300;300;Bahamas
301;301;BARBADIAN
301;301;Barbados
302;302;BELIZEAN
302;302;Belize
302;302;British Honduran
303;303;BERMUDAN
303;303;Bermuda
304;307;CAYMAN ISLANDER
308;309;JAMAICAN
308;309;Jamaica
310;313;DUTCH WEST INDIES
310;310;DUTCH WEST INDIES
310;310;Black Dutch
310;310;Netherlands Antilles
311;311;ARUBA ISLANDER
311;311;Bonaire Islander
311;311;Curacao Islander
312;313;ST. MAARTEN ISLANDER
312;313;St. Eustatius Islander
312;312;Saba Islander
314;316;TRINIDADIAN TOBAGONIAN
314;314;TRINIDADIAN TOBAGONIAN
315;315;TRINIDADIAN
316;316;TOBAGONIAN
317;320;U.S. VIRGIN ISLANDER
317;317;U.S. VIRGIN ISLANDER
318;318;ST. CROIX ISLANDER
318;318;Crucian
318;318;Santa Cruz
