start;end;description
497;502;Fishers, Hunters, and Trappers
497;497;Captains and other officers, fishing vessels
498;498;Fishers
499;502;Hunters and trappers
503;702;PRECISION PRODUCTION, CRAFT, AND REPAIR OCCUPATIONS
503;552;Mechanics and Repairers
503;504;Supervisors, mechanics and repairers
505;552;Mechanics and Repairers, Except Supervisors
505;517;Vehicle and Mobile Equipment Mechanics and Repairers
505;506;Automobile mechanics (part 6111)
506;506;Automobile mechanic apprentices
507;507;Bus, truck, and stationary engine mechanics
508;508;Aircraft engine mechanics
509;513;Small engine repairers
514;514;Automobile body and related repairers
515;515;Aircraft mechanics, except engine
516;516;Heavy equipment mechanics
517;517;Farm equipment mechanics
518;518;Industrial machinery repairers
519;522;Machinery maintenance occupations
523;533;Electrical and Electronic Equipment Repairers
523;524;Electronic repairers, communications and industrial   equipment
525;525;Data processing equipment repairers
526;526;Household appliance and power tool repairers
527;528;Telephone line installers and repairers
529;532;Telephone installers and repairers
533;533;Miscellaneous electrical and electronic equipment repairers
534;534;Heating, air conditioning, and refrigeration mechanics
535;552;Miscellaneous Mechanics and Repairers
535;535;Camera, watch, and musical instrument repairers
536;537;Locksmiths and safe repairers
538;538;Office machine repairers
539;542;Mechanical controls and valve repairers
543;543;Elevator installers and repairers
544;546;Millwrights
547;548;Specified mechanics and repairers, n.e.c.
549;552;Not specified mechanics and repairers
553;612;Construction Trades
553;562;Supervisors, Construction Occupations
553;553;Supervisors, brickmasons, stonemasons, and tile setters
554;554;Supervisors, carpenters and related workers
555;555;Supervisors, electricians and power transmission installers
556;556;Supervisors, painters, paperhangers, and plasterers
557;557;Supervisors, plumbers, pipefitters, and steamfitters
558;562;Supervisors, construction, n.e.c.
563;612;Construction Trades, Except Supervisors
563;564;Brickmasons and stonemasons (part 6412, part 6413)
564;564;Brickmason and stonemason apprentices
565;565;Tile setters, hard and soft
566;566;Carpet installers
567;572;Carpenters (part 6422)
569;572;Carpenter apprentices (part 6422)
573;574;Drywall installers
575;576;Electricians (part 6432)
576;576;Electrician apprentices
577;578;Electrical power installers and repairers
579;582;Painters, construction and maintenance
583;583;Paperhangers
584;584;Plasterers
585;587;Plumbers, pipefitters, and steamfitters (part 645)
587;587;Plumber, pipefitter, and steamfitter apprentices
588;588;Concrete and terrazzo finishers
589;592;Glaziers
593;593;Insulation workers
594;594;Paving, surfacing, and tamping equipment operators
595;595;Roofers
596;596;Sheetmetal duct installers
597;597;Structural metal workers
598;598;Drillers, earth
599;612;Construction trades, n.e.c.
613;627;Extractive Occupations
613;613;Supervisors, extractive occupations
614;614;Drillers, oil well
615;615;Explosives workers
616;616;Mining machine operators
617;627;Mining occupations, n.e.c.
628;702;Precision Production Occupations
628;633;Supervisors, production occupations
634;655;Precision Metal Working Occupations
634;635;Tool and die makers (part 6811)
635;635;Tool and die maker apprentices
636;636;Precision assemblers, metal
637;642;Machinists (part 6813)
639;642;Machinist apprentices (part 6813)
643;643;Boilermakers
644;644;Precision grinders, filers, and tool sharpeners
645;645;Patternmakers and model makers, metal
646;646;Lay-out workers
647;648;Precious stones and metals workers (Jewelers)
649;652;Engravers, metal
653;654;Sheet metal workers (part 6824)
654;654;Sheet metal worker apprentices
655;655;Miscellaneous precision metal workers
656;665;Precision Woodworking Occupations
656;656;Patternmakers and model makers, wood
657;657;Cabinet makers and bench carpenters
658;658;Furniture and wood finishers
659;665;Miscellaneous precision woodworkers
666;674;Precision Textile, Apparel, and Furnishings Machine Workers
666;666;Dressmakers
667;667;Tailors
668;668;Upholsterers
669;673;Shoe repairers
674;674;Miscellaneous precision apparel and fabric workers
675;685;Precision Workers, Assorted Materials
675;675;Hand molders and shapers, except jewelers
676;676;Patternmakers, lay-out workers, and cutters
677;677;Optical goods workers
678;678;Dental laboratory and medical appliance technicians
679;682;Bookbinders
683;683;Electrical and electronic equipment assemblers
684;685;Miscellaneous precision workers, n.e.c.
686;688;Precision Food Production Occupations
686;686;Butchers and meat cutters
687;687;Bakers
688;688;Food batchmakers
689;693;Precision Inspectors, Testers, and Related Workers
689;692;Inspectors, testers, and graders
693;693;Adjusters and calibrators
694;702;Plant and System Operators
694;694;Water and sewage treatment plant operators
695;695;Power plant operators
696;698;Stationary engineers (part 693, 7668)
699;702;Miscellaneous plant and system operators
703;902;OPERATORS, FABRICATORS, AND LABORERS
703;802;Machine Operators, Assemblers, and Inspectors
703;782;Machine Operators and Tenders, Except Precision
703;716;Metal Working and Plastic Working Machine Operators
703;703;Lathe and turning machine set-up operators
704;704;Lathe and turning machine operators
705;705;Milling and planing machine operators
706;706;Punching and stamping press machine operators
707;707;Rolling machine operators
708;708;Drilling and boring machine operators
709;712;Grinding, abrading, buffing, and polishing machine   operators
713;713;Forging machine operators
714;714;Numerical control machine operators
715;716;Miscellaneous metal, plastic, stone, and glass working   achine operators
717;718;Fabricating machine operators, n.e.c.
719;725;Metal and Plastic Processing Machine Operators
719;722;Molding and casting machine operators
723;723;Metal plating machine operators
724;724;Heat treating equipment operators
725;725;Miscellaneous metal and plastic processing machine operators
726;733;Woodworking Machine Operators
726;726;Wood lathe, routing, and planing machine operators
727;727;Sawing machine operators
728;728;Shaping and joining machine operators
729;732;Nailing and tacking machine operators
733;733;Miscellaneous woodworking machine operators
734;737;Printing Machine Operators
734;734;Printing press operators
735;735;Photoengravers and lithographers
736;736;Typesetters and compositors
737;737;Miscellaneous printing machine operators
738;752;Textile, Apparel, and Furnishings Machine Operators
738;738;Winding and twisting machine operators
739;742;Knitting, looping, taping, and weaving machine operators
743;743;Textile cutting machine operators
744;744;Textile sewing machine operators
745;746;Shoe machine operators
747;747;Pressing machine operators
748;748;Laundering and dry cleaning machine operators
749;752;Miscellaneous textile machine operators
753;782;Machine Operators, Assorted Materials
753;753;Cementing and gluing machine operators
754;754;Packaging and filling machine operators
755;755;Extruding and forming machine operators
756;756;Mixing and blending machine operators
757;757;Separating, filtering, and clarifying machine operators
758;758;Compressing and compacting machine operators
759;762;Painting and paint spraying machine operators
763;763;Roasting and baking machine operators, food
764;764;Washing, cleaning, and pickling machine operators
765;765;Folding machine operators
766;767;Furnace, kiln, and oven operators, except food
768;768;Crushing and grinding machine operators
769;772;Slicing and cutting machine operators
773;773;Motion picture projectionists
774;776;Photographic process machine operators
777;778;Miscellaneous machine operators, n.e.c. (part 7479, 7665, 7679)
779;782;Machine operators, not specified
783;795;Fabricators, Assemblers, and Hand Working Occupations
783;783;Welders and cutters
784;784;Solderers and brazers
785;785;Assemblers
786;786;Hand cutting and trimming occupations
787;788;Hand molding, casting, and forming occupations
789;792;Hand painting, coating, and decorating occupations
793;794;Hand engraving and printing occupations
795;795;Miscellaneous hand working occupations
796;802;Production Inspectors, Testers, Samplers, and Weighers
796;796;Production inspectors, checkers, and examiners
797;797;Production testers
798;798;Production samplers and weighers
799;802;Graders and sorters, except agricultural
803;863;Transportation and Material Moving Occupations
803;822;Motor Vehicle Operators
803;803;Supervisors, motor vehicle operators
804;805;Truck drivers
806;807;Driver-sales workers
808;808;Bus drivers
809;812;Taxicab drivers and chauffeurs
813;813;Parking lot attendants
814;822;Motor transportation occupations, n.e.c.
823;842;Transportation Occupations, Except Motor Vehicles
823;827;Rail Transportation Occupations
823;823;Railroad conductors and yardmasters
824;824;Locomotive operating occupations
825;825;Railroad brake, signal, and switch operators
826;827;Rail vehicle operators, n.e.c.
828;842;Water Transportation Occupations
828;828;Ship captains and mates, except fishing boats
829;832;Sailors and deckhands
833;833;Marine engineers
834;842;Bridge, lock, and lighthouse tenders
843;863;Material Moving Equipment Operators
843;843;Supervisors, material moving equipment operators
844;844;Operating engineers
845;847;Longshore equipment operators
848;848;Hoist and winch operators
849;852;Crane and tower operators
853;854;Excavating and loading machine operators
855;855;Grader, dozer, and scraper operators
856;858;Industrial truck and tractor equipment operators
859;863;Miscellaneous material moving equipment operators
